97,118813
199,143247
278,138278
301,144256
1053,613
1054,1051
1268,1266
1289,130147
1589,4026
1633,9839
1663,19102
1682,1673
1688,2048
1955,1954
2002,122892
2277,2273
2354,5656
2531,4739
2856,2853
2960,2956
3110,9162
3171,13823
3242,129408
3309,129772
3462,129371
3640,785
3647,1580
3701,868
3755,138280
4015,4013
4016,4013
4025,862
4233,142940
4457,133081
4668,4666
4697,10779
5082,5080
5090,22248
5114,133828
5256,5255
5294,5291
5357,654
5363,1924
5381,114890
5599,5596
5686,5656
5783,121500
5954,5951
5994,100205
6076,2201
6215,138986
6457,6456
6526,861
6532,1665
6550,127425
6571,6040
6572,6269
6633,6729
6708,6429
6806,2554
6847,10217
6859,3756
6879,27085
6922,131452
6924,153774
6976,8036
7396,4627
7418,1116
7532,7531
7594,137001
7789,6040
7847,34886
7922,1664
8048,137001
8116,37520
8435,137871
8698,118814
8726,406
8731,2495
8839,11334
9216,300
9415,9414
9720,9718
10026,22612
10061,16594
10076,149578
10089,9338
10114,147239
10197,2898
10394,127357
10414,3190
10579,145617
10680,10359
10748,4908
10852,10850
10863,9162
10879,2522
10981,8825
11022,10631
11038,150
11049,11048
11101,10276
11130,144793
11171,12856
11490,129123
11642,11641
11769,35655
11795,115221
12151,4821
12203,12202
12226,2606
12289,12287
12606,1193
12640,24874
12982,120663
12989,4821
13006,13003
13042,117947
13059,10970
13120,4513
13193,13192
13235,2420
13273,10418
13277,140948
13309,4493
13428,7843
13507,9431
13660,18160
13710,24488
13750,8762
13847,21106
13872,13870
13893,2021
14101,6040
14114,121634
14168,16333
14194,88330
14309,5047
14336,17696
14387,151164
14494,14493
14510,3491
14587,14586
14735,10514
14873,13500
14961,13659
15070,15068
15088,5158
15212,11162
15225,13514
15303,15302
15584,140834
15600,140834
15654,15652
15720,4059
15722,4678
15793,15791
15835,10505
15850,14650
15983,16615
16204,2363
16323,145533
16363,105584
16570,16569
16577,3191
16675,10031
16733,145428
16826,67931
16887,16884
16888,15136
16913,2268
17116,1199
17292,16367
17308,3952
17393,7945
17474,6471
17583,17582
17685,8167
17690,43486
17796,17794
17829,2048
17840,32237
17845,17844
18003,9925
18004,32666
18005,2283
18169,8479
18189,126489
18328,148412
18353,10505
18551,18548
18582,18581
18798,145595
18834,12234
18863,47962
19085,3486
19137,30274
19290,123223
19413,123664
19472,2273
19504,8219
19549,23838
19648,4993
19657,13265
19665,5161
19724,3652
19736,151164
19737,151164
19745,2437
19746,10211
19750,12955
19801,33477
19862,14815
19891,2322
19950,1532
19994,19992
20019,7218
20020,7218
20084,60280
20406,7556
20412,137895
20425,1760
20426,3475
20448,49
20509,11265
20510,11266
20799,5885
20917,26289
20996,7137
21056,419
21230,22349
21232,21231
21239,66673
21325,21324
21375,233
21406,142140
21408,142140
21601,11395
21654,40344
21857,14683
21951,16094
22008,121196
22036,16150
22073,5259
22082,149138
22097,2610
22269,9784
22424,63053
22546,11805
22644,74133
22665,129957
22673,2166
22702,19120
22704,37
22738,121056
22769,149333
22788,123612
22789,123612
23134,18922
23259,29833
23291,149155
23300,9099
23345,60348
23551,11868
23757,2732
